Castle,Inhabitant,Breaks,OwnershipDate
Arbor of Light,Valkyrie Spirit,15,16/01/2018
Yssnelf,Ethereal Order,13,16/01/2018
Neuschwanstein,Imperial Regalia,13,16/01/2018
Shadow of Buddha,Ethereal Royale,12,16/01/2018
Lazreagues,Fatality-,11,16/01/2018
Skoegul,Fatality-,10,16/01/2018
Swanhild, Oops` ,8,16/01/2018
Kendul,Ethereal Royale,7,16/01/2018
Jyolbringer,Ethereal Order,7,16/01/2018
Leprion,Immanent Regalia,6,16/01/2018
Garden of Heaven, Oops` ,6,16/01/2018
Bamboo Forest of Hermitage,Pitchfork Emporium,6,16/01/2018
Bergell,Fatality-,4,16/01/2018
Melcedez,~.Just.a.Game.~,3,16/01/2018
Hohenschwangau, Oops` ,3,16/01/2018
Kriemhild,CeruleanV,2,16/01/2018
Rothenburg,DarkEmpire IV,1,16/01/2018
Red Palace,Imperial Regalia,0,13/01/2018
Nuernberg,Atlas,0,13/01/2018
Wurzburgk,Synergy,0,13/01/2018
