Castle,Inhabitant,Breaks,OwnershipDate
Swanhild,Insignia Regalia,19,27/01/2018
Bergell,N0PAK,17,27/01/2018
Arbor of Light,DarkEmpire IV,17,27/01/2018
Shadow of Buddha,Vice,16,27/01/2018
Lazreagues,Immanent Regalia,15,27/01/2018
Rothenburg,DarkEmpire II,15,27/01/2018
Kendul,Ascension,14,27/01/2018
Melcedez,~.Just.a.Game.~,14,27/01/2018
Skoegul,Ethereal Royale,13,27/01/2018
Yssnelf,Ethereal Order,13,27/01/2018
Jyolbringer,Imperial Regalia,12,27/01/2018
Neuschwanstein,Guardians*,12,27/01/2018
Garden of Heaven,Fairy Tail,10,27/01/2018
Red Palace,Imperial Regalia,9,27/01/2018
Hohenschwangau, Oops` ,8,27/01/2018
Bamboo Forest of Hermitage,[ b a K o N ],6,27/01/2018
Kriemhild, Oops` ,5,27/01/2018
Wurzburgk,Fatality-,5,27/01/2018
Leprion,Fatality-,4,27/01/2018
Nuernberg,Atlas,4,27/01/2018
